States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 2 3.59375 66 34 26 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaTaTb Q_PDS
32 3 5 3.625 124 35 49 aabaaaTaaaaaaaaaaaaaaaaaaaaaaabTbaa Q_PDS
32 3 4 3.61328 104 34 34 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTbTbTb Q_PDS
32 3 2 3.60547 50 33 28 aaaaaaaaaaaaaaaaaaaaaaaaaaabbTbTb Q_PDS
32 3 4 3.62891 96 39 44 aabaaaaaaaaaaaaaaaaaaaaaaaaaaabaTaabaTb Q_PDS
32 3 3 3.62891 86 34 28 aaabaaaaaaaaaaaaaaaaaaaaaaaaabbabb Q_PDS
32 3 2 3.60156 53 32 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 4 3.62109 109 45 38 aaaaaaaaaaaaaaaaaaaaaaaaaaaTbbTbTbabTTaTabaTb Q_PDS
32 3 3 3.60938 76 32 43 aaaaaaaaaaaaaaaaaaaaaaaaaaaabTbb Q_PDS
32 3 3 3.60938 90 46 29 aaaaaaaaaaaaaaaaaaaaaaaTaaaabTaaaTaTaTaaTbbTab Q_PDS
32 3 2 3.59766 38 34 47 aaaaaaTTaaaaaaaaaaaaaaaaaaaaaaaaTa Q_PDS
32 3 2 3.60938 65 36 37 aaaaaaaaaaaaaaaaaaaaaaaaaaabTaTababb Q_PDS
32 3 2 3.61719 66 32 38 aaaaaaaaaaaaaaaaaaaaaaaaaaTaaaba Q_PDS
32 3 2 3.60547 60 34 30 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTabaTb Q_PDS
32 3 2 3.62109 73 31 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Q_PDS
32 3 3 3.62109 78 35 40 aaaaaaaaaaaaaaaaaaaaaaaaaaaTTaabaTb Q_PDS
32 3 1 3.60938 47 35 30 aaaaaaaaaaaaaaaaaaaaaaaaabTaaaabaab Q_PDS
32 3 3 3.63281 82 33 24 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaaaTb Q_PDS
32 3 3 3.61719 70 37 41 aaaaaaaaaaaaaaaaTaaaaaaaaaaaaTbabTbTb Q_PDS
32 3 2 3.61719 77 51 29 aaaaaaaaaaaaaaaaaaaaaaaaaTaaaabaTaaTaTbaaTbababTaTb Q_PDS
32 3 2 3.60547 47 31 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Q_PDS
32 3 1 3.60156 41 37 24 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabaaaTTb Q_PDS
32 3 1 3.60938 51 40 24 aaaaaaaaaaaaaaaaaaaaaaaaaaaababTbbaTbTab Q_PDS
32 3 3 3.62109 75 43 37 baaaaaaaaaaaaaaaaaaaaaaaaaaaTaTabTbbTabTabb Q_PDS
32 3 1 3.61328 32 32 34 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTaaa Q_PDS
32 3 1 3.59375 32 32 23 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTaaa Q_PDS
32 3 5 3.62891 118 32 42 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaTaa Q_PDS
32 3 3 3.625 72 38 37 aaaaaaaaaaaaaaaaaaaabaaaaaaaaaTaTbaaTb Q_PDS
32 3 2 3.60156 44 35 33 baaaaaaaaTaaaaaaaaaaaaaaaaaaaaabbTb Q_PDS
32 3 5 3.62891 124 41 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaabaaTTababaabb Q_PDS
32 3 3 3.625 78 42 37 aaaaaaaaaaaaaaaaaaaaaaaaaaaTbababbaTbbabab Q_PDS
32 3 2 3.60156 54 35 35 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTaTabbb Q_PDS
32 3 8 3.62891 98 33 65 aaaaabaaaaaaaaabaaaaaaaaaaaaaaaab Q_PDS
32 3 4 3.63672 107 33 40 aaaaaaaaaaaaaaaaaaaaaaaaaaaaTaTaa Q_PDS
32 3 2 3.62891 59 33 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaTaTb Q_PDS
32 3 3 3.625 79 52 35 aaaaaaaaaaaaaaaaaaaaaaaaaaaTTaTaTbaTaTaaTabTababbaTb Q_PDS
32 3 4 3.65234 115 55 40 aaaaaaaaaaaaaaTaaaaaaaaaaTaaTaTaTTaTbTabbbbabTaTaaaaabb Q_PDS
32 3 3 3.62891 89 48 30 aaaaaaaaaaaaaaaaaaaaaaaaaaTabbabTTTbbbTaTTaaTTab Q_PDS
32 3 2 3.60938 62 36 33 aaaaaaaaaaaaaaaaaaaaaaaaaTaaaaTaTbTa Q_PDS
