Episodes Task Normalised_Cummulative_Reward
28 Q(RS) 0.96155
29 Q(RS) 0.99662
30 Q(RS) 0.94659
31 Q(RS) 0.98822
32 Q(RS) 0.90594
33 Q(RS) 0.94889
34 Q(RS) 0.99227
35 Q(RS) 0.93609
36 Q(RS) 0.93701
37 Q(RS) 0.93950
38 Q(RS) 1.00008
39 Q(RS) 0.98146
40 Q(RS) 0.93982
41 Q(RS) 0.93449
42 Q(RS) 0.86519
43 Q(RS) 0.99236
44 Q(RS) 0.90577
45 Q(RS) 0.90487
46 Q(RS) 0.90702
47 Q(RS) 0.98334
48 Q(RS) 0.97080
49 Q(RS) 0.83647
50 Q(RS) 0.89087
51 Q(RS) 0.87434
52 Q(RS) 0.99459
53 Q(RS) 0.97079
54 Q(RS) 0.97604
55 Q(RS) 0.91468
56 Q(RS) 0.99495
57 Q(RS) 0.99849
58 Q(RS) 0.99352
59 Q(RS) 1.00716
60 Q(RS) 0.98191
61 Q(RS) 0.85918
62 Q(RS) 0.98074
63 Q(RS) 0.84712
64 Q(RS) 1.00284
65 Q(RS) 0.89249
66 Q(RS) 0.99442
67 Q(RS) 0.97678
68 Q(RS) 0.95507
69 Q(RS) 0.95358
70 Q(RS) 1.00012
71 Q(RS) 0.92489
72 Q(RS) 0.95999
73 Q(RS) 0.90282
74 Q(RS) 0.92662
75 Q(RS) 0.98941
76 Q(RS) 1.00269
77 Q(RS) 0.97444
78 Q(RS) 0.99351
79 Q(RS) 0.95470
80 Q(RS) 1.00067
81 Q(RS) 0.97160
82 Q(RS) 0.96577
83 Q(RS) 0.98910
84 Q(RS) 0.98366
85 Q(RS) 0.97855
86 Q(RS) 0.92367
87 Q(RS) 0.98024
88 Q(RS) 0.89923
89 Q(RS) 0.98282
90 Q(RS) 0.90774
91 Q(RS) 0.98713
92 Q(RS) 1.00135
93 Q(RS) 0.99405
94 Q(RS) 0.99880
95 Q(RS) 1.00607
96 Q(RS) 0.98844
97 Q(RS) 0.99129
98 Q(RS) 0.98030
99 Q(RS) 0.98379
100 Q(RS) 0.98447
1 Q(RS) 0.00000
2 Q(RS) 0.85901
3 Q(RS) 0.94208
4 Q(RS) 0.80194
5 Q(RS) 0.89231
6 Q(RS) 0.83857
7 Q(RS) 0.67179
