States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 2 0 0.65625 11 10 10 aaaaaaaaaa Q_PDS
32 2 0 0.65625 7 6 6 aaaaaa Q_PDS
32 2 0 0.65625 9 8 8 aaaaaaaa Q_PDS
32 2 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 2 0 0.65625 11 10 10 aaaaaaaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.65625 11 10 10 aaaaaaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 10 9 9 aaaaaaaaa Q_PDS
32 3 0 0.65625 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 6 5 5 aaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaca Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 8 7 7 aaaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.65625 10 9 9 aaaaaaaaa Q_PDS
32 3 0 0.65625 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 10 9 9 aaaaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
