States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 2 3.69141 101 134 0 aTcTcTcTcbTcabbTcbabTcTcbabTcbababbaaTcbaTcabTcaaabaTcaTcbbabTcbTcbaTcabaaTcTcababTcbabTcabaTcTcababaaaTcbabbbTcbTcaaTcbaTcaabbaTcaaTcaTcaabaTcaTcTcaaTcaabaTcbaaaTcabTcaTcbb Q_SS 
32 3 0 3.69141 34 38 0 TcaaaTcTcaabbTcbbbabTcbTcbaTcabbbbTcbbbaaaTcbbb Q_SS 
32 3 0 3.69141 44 54 0 TcbbaaTcaaababTcTcaTcaTcaTcaTcababaTcaTcaabaTcTcbTcTcTcaaabTcTcaaTcaTcaab Q_SS 
32 3 0 3.69141 51 60 0 TcaaaababTcbTcaaababaabbbabaTcbbaabTcaTcTcaTcaTcaTcTcaaaTcaTcabbbTcbbabTcTca Q_SS 
32 3 1 3.69141 71 81 0 bTcaaaTcTcaaTcabbbbaaaaTcaaTcTcbbTcaaaTcTcbTcbTcTcbTcbbTcaTcbaabbTcbaTcTcbbabTcbbaabTcbTcTcbbbbaabbbTcabb Q_SS 
32 3 0 3.69141 29 34 0 bbaabbTcaTcbbbbTcbTcaabbaTcabbbTcaaTcabTca Q_SS 
32 3 2 3.69141 69 42 21 TcaTcbaTcTcaabaTcTcaabaTcbbTcTcbbabTcTcbabaaaababbabb Q_SS 
32 3 1 3.69141 67 89 0 aTcbbTcbTcbTcbaTcaTcbabTcbaaaaaTcabbbaTcaababbTcbbaTcTcbabbabbabTcabaaTcbTcaaTcTcbbaTcbaTcbTcabbbbTcaTcbTcbbbaab Q_SS 
32 3 5 3.69141 153 67 14 TcaTcaabbTcaTcbbbaTcTcbaTcbaaabTcbbbaTcbbaaTcaTcaaabTcaaTcbTcaTcbabTcbaaTcbaaabbTcbab Q_SS 
32 3 2 3.69141 93 130 0 bTcbbbTcabaaaTcbaaabaTcbTcaTcaaababbabbabTcaaaaabTcbbTcbaababababbTcbTcaTcaTcaTcabaTcbabTcbTcaTcbbaaTcbaTcababbTcababbbTcTcaTcbaTcaTcaabbbbTcabaTcaaaTcTcaabbTcbb Q_SS 
32 3 0 3.69141 40 51 0 aTcaabTcbbbTcTcbabTcaTcababaTcaaaTcbabbbTcabTcTcbbTcaaaTcabbbTcab Q_SS 
32 3 1 3.69141 75 97 0 aTcbTcaaabaTcbbbTcbaaabaTcbbaaTcbTcbTcaTcbbaaTcaTcTcbbTcabbTcbaTcbaaTcTcabaTcaaaTcTcabbbbTcaaaababbaabTcaTcbbbaTcbbabTcbbb Q_SS 
32 3 2 3.69141 76 97 0 TcaTcTcTcaTcbbTcabaaaTcbbTcbbbaTcTcbbbTcaaabTcababaabTcaaaabTcbTcaabTcabaTcaabTcaTcbaaaTcTcabaaaTcbbTcabbTcaabTcbabbbbTcbbb Q_SS 
32 3 0 3.69141 48 54 0 TcTcbaabTcbaTcabbTcTcbbaTcaaaTcbbTcbbTcabbbbaTcabTcTcbTcbabaTcTcaTcabbb Q_SS 
32 3 14 3.69141 254 33 67 TcaTcaTcTcababababbbaaTcbTcaTcabbabTcabbb Q_SS 
32 3 0 3.69141 23 26 0 bTcbabbababaaaaTcTcbaTcbaaTcbbb Q_SS 
32 3 1 3.69141 78 95 0 TcTcaTcTcbaTcbbTcTcbbaaTcaaabTcaTcbbaabaTcbbTcaaTcbaTcbTcaTcbabbTcaTcaaaTcaTcaTcabTcTcbaTcbbbbTcbTcaTcabbabaaTcababTcaTcabbab Q_SS 
